Meal Type,Recipe name,Calories (kcal),Protein (g),Fats (g),Ingredients,Instructions,Estimated Cost (₹)
Lunch,Pita,694.8,36.8,12.4,"' cups warm water', '1 teaspoon instant yeast', ' cups ( grams) bread flour, divided, plus more as needed', '2 tablespoons canola oil, plus more for your bowl', ' teaspoons Morton kosher salt'","1. Combine the water and yeast in a large mixing bowl (if you have a stand mixer, use that bowl) and let sit for 5 minutes.
2. Reserve cup ( grams) bread flour and add the remaining 4 cups to the mixing bowl along with the canola oil.
3. If you have a stand mixer, fit it with the dough hook and knead the mixture on low speed for about 3 minutes, until a sticky but cohesive dough starts to form.
4. Pause occasionally to scrape down the bowl if the flour is clinging to the sides and bottom or climbing up the hook.
5. If youAre making the dough without a stand mixer, mix it with a wooden spoon.
6. In either case, loosely cover the bowl with plastic wrap or a dish towel and let rest for minutes.
7. With your stand mixer on low or while stirring by hand in the mixing bowl, add the salt and, over the course of 2 or 3 minutes, add the remaining cup flour, 2 tablespoons at a time.
8. The dough should be more tense; it will feel soft but tacky, although it will pull from the sides of the bowl.
9. Flour your hands generously and use them to pull the dough onto a clean, unfloured work surface.
10. Cup your hands around the dough, rolling it in short, circular strokes and using the sides of your hands to nudge it into a relatively smooth ball.
11. Lightly wipe the inside of a large bowl with canola oil and place the dough inside, flipping it once or twice to coat.
12. Loosely cover the bowl and let the dough rise at a warm room temperature for 1 hour.
13. After 1 hour, the dough will be stretchy but very soft.
14. Leaving it inside the bowl, stretch opposite sides of the dough over the center.
15. Rotate the bowl a quarter- turn and stretch the dough in the same way, then flip the whole mound of dough upside down and cover again.
16. Let rise for 1 hour.
17. Repeat this series of folds one more time, allow it to rise at room temperature for 1 hour, then tightly cover the bowl and refrigerate overnight or up to 2 days.
18. The longer the dough is refrigerated, the more flavor it will have.
19. After this rise, itAs ready to be shaped; bear in mind that, once itAs shaped, it will need more time for a final rise, so plan ahead.
20. Wipe a bit of canola oil on a large baking sheet.
21. Dump the dough onto a clean, dry counter, and use a bench scraper or sharp knife to cut it into eight equal pieces; make clean, decisive cuts rather than use a sawing motion, so you donAt deflate all the air inside.
22. Lightly flour your hands and place one palm directly over the dough ball, with all your fingertips touching the counter to make a sort of AcageA around the dough.
23. Roll it in brisk, small circles on the countertop so it tightens itself into a smoother, more taut ball.
24. Space the rounds of dough a few inches apart, seam side down, on the sheet, and roll to coat them lightly in oil.
25. Tightly cover the sheet with plastic wrap so the dough doesnAt dry out, and let them rise at room temperature for 2 to 4 more hours, until theyAre pillowy.
26. Meanwhile, set a baking stone on the center rack of your oven and turn on the broiler.
27. YouAre emulating a wood- burning oven, so you need to give the stone a good long while to preheat before you bake.
28. When the dough is ready, lightly flour a work surface, and use a bench scraper or thin metal spatula to coax one piece into your palm; be sure you donAt manhandle it or youAll force out the pockets of air that formed while it rose.
29. Dust a little more flour on the top of the dough and onto your rolling pin.
30. With firm, even pressure, briskly roll the dough a few times along its length.
31. Flip it upside down, rotate it a quarter- turn, and roll it the same way, keeping it as round as possible.
32. Repeat, dusting a little extra flour as needed, until itAs about 6 inches across.
33. This next part happens fast and furiously, so make sure you have no distractionsAscreaming children and natural disasters will have to wait.
34. Use tongs or a good oven mitt to pull the oven rack with the baking stone partially out.
35. Carefully pick up the pita, drape it over your palm, and slap it down onto the stone as if youAre giving it a high- five (just be careful not to touch the hot stone!).
36. Set a timer for 1 minute, and close the oven.
37. Broilers vary in strength but all are quite hot, so donAt turn your back on the oven or the pita may burn.
38. Check on itA it should puff up and build in color, with some beautiful blistered spots.
39. If itAs still pale, close the oven and let it keep baking for - second intervals.
40. Use tongs to flip the pita, and let it finish baking with the oven door cracked so you can watch it finish.
41. Pull it out when the second side is as pretty as the first; this can take anywhere from seconds to 2 minutes, depending on your broiler.
42. Bake off the rest of the dough this way; as you get the hang of it, feel free to bake two pitas at a time.
43. Serve these hot or at room temperature.",112.05
Dinner,Veselkas Famous Borscht,448.2,16.6,28.1,"'3 pounds ( to ) small beets, scrubbed thoroughly but not peeled', '9 tablespoons white vinegar', 'One 2-pound boneless pork butt, halved', '8 cups beef, chicken, or vegetable stock', '1 bay leaf', '1 teaspoon whole allspice berries', '1 tablespoon whole black peppercorns', '3 large carrots, peeled and sliced', '3 large celery stalks, sliced', '1 small head of green cabbage (about to 1 pound), shredded (about 4 cups)', '2 medium Idaho potatoes, peeled and cut into -inch dice', 'One -ounce can lima beans, drained and rinsed', 'Salt'","1. To make the Abeet water,A roughly chop 2 pounds of the beets (select the smaller ones), preferably in a food processor fitted with the metal blade.
2. Place the chopped beets in a large stockpot.
3. Add cups of water and 1 tablespoon vinegar.
4. Place the stockpot over high heat and bring to a boil, then reduce the heat to low, and simmer for 2 hours. (If it seems like the liquid is evaporating too quickly, you may need to cover the pot partially with an offset lid.) The beets should be extremely soft and the liquid bright red.
5. Strain the liquid, pressing the cooked beets against the side of the strainer to extract as much liquid as possible.
6. Discard the pulp or reserve.
7. Set aside the beet water.
8. You should have just about 4 cups.
9. Meanwhile, place the remaining 1 pound of whole beets in a separate large stockpot.
10. Add water to cover and bring to a boil.
11. Reduce the heat to low, and simmer until the beets are tender-firm, about minutes.
12. When the beets are cooked, add 1 tablespoon white vinegar and set them aside to cool.
13. When the whole cooked beets are cool enough to handle, peel them; the skins should slip off easily.
14. Grate the peeled beets on the largest holes of a box grater or in a food processor fitted with the grating blade.
15. To make the broth, place the pork butt in a large stockpot and add the beef stock.
16. If necessary, add a little more stock or water to cover.
17. Add the bay leaf, allspice berries, and peppercorns.
18. Bring to a boil, reduce the heat to low, and simmer until the meat is tender and beginning to fall apart, about 2 hours.
19. Set the pork aside to cool.
20. When the pork is cool enough to handle, remove it from the pot and cut the meat into -inch cubes.
21. Strain the broth and discard the bay leaf, allspice berries, and peppercorns.
22. Reserve the cubed meat and 4 cups of the broth.
23. To cook the vegetables, place the carrots and celery in a large stockpot and pour the reserved meat broth over them.
24. Bring to a boil, reduce the heat, and simmer until the carrots and celery are just tender, about 8 minutes.
25. Add the cabbage and potatoes and continue to cook until the potatoes and carrots are easily pierced with a pairing knife but keep their shape, to additional minutes.
26. Add the lima beans and cook for 5 additional minutes, just to meld the flavors.
27. Gradually add the remaining 7 tablespoons white vinegar, tasting between additions and stopping when the flavor is to your liking.
28. Remove the soup from the heat and set aside.
29. To compose the soup, in a large soup pot combine the Abeet waterA and meat broth with the vegetables.
30. Add the cubed pork and the grated beets.
31. Stir to combine and bring to a simmer over low heat.
32. Season to taste with salt and serve immediately.",321.37
Dinner,Papaya-And-Cubeb-Marinated Snapper With Baked Yam Chips,501.0,30.7,25.0,"'4 5A6-oz. skin-on red snapper fillets, patted dry', ' tsp. okra salt or kosher salt, plus more', 'Alligator pepper or freshly ground black pepper', ' tsp. cubeb pepper or Ashanti pepper (uziza)', ' green or medium-ripe papaya, peeled, insides discarded', '1 small bunch cilantro', '2 Tbsp. extra-virgin olive oil', '1 small red onion, coarsely chopped', '1 garlic clove, coarsely chopped', '1 1"" piece ginger, peeled, coarsely chopped (unpeeled if organic)', ' tsp. ground dried bird chiles or other hot chile powder', '1 lemon, halved', '1 lb. puna, white yams, or sweet potatoes (2A3)', '1 tsp. coconut sugar or dark brown sugar', ' tsp. kosher salt, divided', '3 Tbsp. extra-virgin olive oil, divided', 'Freshly ground black pepper', ' tsp. chile powder', 'Drunk Apricot Shito (for serving)', 'A spice mill or mortar and pestle'","1. Using a sharp chefAs knife, score skin of each fish fillet in a crosshatch pattern, making cuts about "" apart.
2. Season fillets on both sides with salt and alligator pepper.
3. Toast cubeb peppers in a dry small skillet over medium-low heat, shaking occasionally, until fragrant, about 3 minutes.
4. Transfer to a spice mill or mortar and pestle.
5. Let cool and coarsely grind; set aside.
6. Coarsely chop half of papaya into 1"" pieces; set remaining half aside.
7. Coarsely chop half of cilantro (leaves and stems); set remaining cilantro aside.
8. Transfer chopped papaya to a blender; add oil and blend, adding 1A2 Tbsp. water to get it going if needed, until smooth.
9. Add chopped cilantro, onion, garlic, ginger, ground chile, tsp. salt, and reserved ground cubeb pepper.
10. Blend mixture to a smooth paste.
11. Coat fillets all over with marinade, rubbing into score marks.
12. Place fish, skin side down, in a single layer in a large baking dish.
13. Squeeze juice from half a lemon over.
14. Set remaining lemon half aside for serving.
15. Cover with plastic wrap or a lid and chill at least 2 hours and up to hours.
16. Fill a large bowl with water.
17. Peel yams and slice in half lengthwise, then slice in half crosswise.
18. Cut each quarter into ""-thick slabs. (Length of slabs will depend on yamAs size, but youAre going for something that looks like steak fries.) Add yam slices to bowl as you work to prevent oxidation.
19. When all yams are cut, swish in water to remove excess starch, then drain.
20. Refill bowl and repeat process until water is clear, about 2 more times.
21. Add sugar and tsp. salt and stir until dissolved; add the drained chips. (Yams, like many foods that are good for you, can be quite bitter; the sugar will help counter this.) Let soak minutes.
22. Place a rack in middle of oven; preheat to .
23. Drain chips and pat dry with a clean kitchen towel.
24. Transfer to a rimmed baking sheet and drizzle with 2 Tbsp. oil.
25. Season with black pepper, then sprinkle with chili powder and remaining 1 tsp. salt.
26. Toss to coat, then spread out into an even layer.
27. Roast chips, turning halfway through, until golden brown and crisp, about minutes.
28. Heat broiler.
29. Scrape off excess marinade from fish and place fillets, skin side up, on another rimmed baking sheet.
30. Broil until browned and crisp on top and cooked through, 5A7 minutes.
31. Using a vegetable peeler, shave reserved papaya into ribbons, pick leaves from reserved cilantro stems, and cut reserved lemon half into wedges.
32. Transfer fish to plates and top with papaya and cilantro.
33. Mound yam chips next to fillets.
34. Serve with shito and lemon wedges alongside.",437.78
Lunch,Drunk Apricot Shito Ghanaian Hot Pepper Sauce,488.2,31.1,23.5,"'4 oz. dried apricots', ' cup dark rum or arrack', '1 Tbsp. unsalted butter', ' tsp. ground cinnamon', '3 Tbsp. plus 1 tsp. coconut sugar or dark brown sugar', '2 grains of selim pods', ' tsp. cubeb pepper or Ashanti pepper (uziza)', ' cup peanut oil or vegetable oil', '1 medium white onion, finely chopped', '1 small red onion, thinly sliced', '2 garlic cloves, coarsely chopped', '1 1"" piece ginger, peeled, finely grated (unpeeled if organic)', '1 Tbsp. crushed red pepper flakes', '1 tsp. chopped rosemary', '1 tsp. chopped thyme', ' tsp. dried prawn or shrimp powder', '1 tsp. okra salt or kosher salt, plus more', '2 Tbsp. tomato purAe', '3A4 Tbsp. dried chile powder', 'A cups low-sodium chicken broth', '1 Scotch bonnet or habanero chile, pierced a few times with a knife', 'A spice mill or mortar and pestle'","1. Place apricots in a small bowl and pour in hot water to cover.
2. Let sit minutes, then drain and coarsely chop.
3. Return apricots to same bowl and add rum; stir to coat.
4. Chill at least minutes and up to 1 day.
5. Drain into a mesh sieve set over another small bowl or container.
6. Reserve apricots and rum separately.
7. Melt butter in a medium saucepan over medium heat.
8. Add cinnamon, 3 Tbsp. coconut sugar, and reserved apricots.
9. Cook, stirring occasionally, until apricots are slightly softened and coated in caramel, 6A8 minutes.
10. Add reserved rum and cook, stirring often, until thickened and syrupy, about 5 minutes.
11. Let cool slightly. (Just FYI: You can eat these drunk apricots right away over vanilla ice cream and be very happy.) Toast grains of selim pods and cubeb peppers in a small skillet over medium-low heat, shaking occasionally, until fragrant, about 3 minutes.
12. Transfer to a spice mill or mortar and pestle and let cool.
13. Grind as well as you can.
14. The grains of selim wonAt completely break up, so cracked open but mostly whole is okayAyou just want to release some of their flavor.
15. Heat oil in a large Dutch oven or other heavy pot over medium.
16. Cook white and red onions, stirring occasionally, until softened and just starting brown, minutes.
17. Stir in ground grains of selim and cubeb pepper, garlic, ginger, and remaining 1 tsp. coconut sugar.
18. Cook, stirring occasionally, 5 minutes.
19. Add red pepper flakes, rosemary, thyme, prawn powder, and 1 tsp. salt to pot and cook, stirring occasionally, about 2 minutes.
20. Add drunk apricots along with any syrup and cook, stirring often, about 2 minutes.
21. Add tomato purAe to pot and cook, stirring occasionally, 4 minutes, then stir in chile powder.
22. Add broth and fresh chile.
23. Cover pot and cook, stirring occasionally to prevent sticking, until a loose dark brown paste forms, minutes.
24. The oil will rise to the surface when the sauce is ready.
25. Remove from heat; taste and season with more salt if needed.
26. If you like texture, leave as is, or blend with an immersion blender (or let it cool slightly and blend it in a blender) to make it smooth.
27. Let cool completely.
28. Spoon shito into jars or an airtight container with at least a "" layer of oil on top.
29. Do ahead: Shito can made 1 week ahead.
30. Cover and chill.
31. Note: The amount of chile described in this recipe is what I would classify as pretty hotAsome West Africans might call this medium hot, some very hot.
32. Folks familiar with heat will enjoy this, but if you donAt like super-jacked heat you should probably err on the lower end of the range.
33. West African pantry staples can be found at Zoe's Ghana Kitchen.",359.48
Lunch,Summer Bean Soup With Tomato Brown Butter,671.5,35.8,20.7,"'8 oz. ( g) dried beans, such as flageolet or navy, or fresh shelling beans', '2 in. square dried kombu', '2 large tomatoes', '2 celery ribs', '1 carrot', '1 leek, white and light green parts only', '6 shallots, skins intact', '6 garlic cloves, minced', '4 oil-packed anchovy fillets', '6 Tbsp. ( ml) extra-virgin olive oil', '2 Tbsp. maple syrup', '1 Tbsp. kosher salt', '1 Tbsp. red pepper flakes', '1 tsp. whole-grain mustard', '8 oz. ( g) bacon', '8 oz. ( g) Romano beans or green beans, chopped into 1 in. pieces', '2 shallots, thinly sliced', '1 tsp. red pepper flakes', 'Zest and juice of 1 lemon', '1 garlic clove, grated', ' pickled green beans (see Basic Wet Salt Method, below)', '9 cherry tomatoes, quartered', '2 tsp. extra-virgin olive oil', '1 tsp. sherry vinegar', 'Tomato Brown Butter', 'Crumbled feta, parsley leaves, and marjoram leaves for garnish'","1. Combine the dried beans and kombu in a large container and cover with plenty of water to soak for at least 4 hours or overnight; skip this step if using fresh beans.
2. Drain the beans and kombu and add them to a large pot with enough water to cover by about 1 in. (if using fresh beans, add the kombu now).
3. Bring to a boil over medium-high heat; meanwhile, halve the tomatoes and cut the celery, carrot, and leek into about 3 in. pieces.
4. As soon as the water boils, decrease the heat to medium-low and add the vegetables to the pot, along with the whole shallots and minced garlic.
5. Continue to cook at a gentle simmer until the beans are very creamy, to minutes for dried beans and about half that for fresh.
6. Remove the pot from the heat and use a slotted spoon to reserve the tomatoes; remove and discard the other vegetables.
7. Set up a sieve over a heat proof container and strain the beans (there should be about 3 cups or g), reserving all the cooking liquid.
8. In a blender, combine 1 cup ( g) of the cooked beans with 2 cups ( ml) of the cooking liquid, plus the tomatoes, anchovies, oil, maple syrup, salt, red pepper flakes, and mustard.
9. PurAe until extremely smooth, pour into a large bowl, and fold in the reserved cooked beans by hand.
10. At this point, you can serve it right away or transfer to an airtight container and refrigerate for up to 3 days, gently rewarming over medium-low heat when youAre ready to serve.
11. While the bean soup is cooking, preheat the oven to .
12. Cut the bacon into in. lardons; reserve 3 whole beans for garnish and cut the rest into 2 to 3 in. pieces.
13. In a medium saucepan or Dutch oven, spread the bacon in an even layer and cook over medium-low heat until it starts to turn golden and crisp, about minutes.
14. Use a slotted spoon to remove the pieces but leave the fat behind.
15. Increase the heat slightly, and sautA the shallots until translucent, 5 to minutes.
16. Stir in the chopped beans, bacon, and red pepper flakes.
17. Cover with a lid or a tight layer of foil and bake until the beans are very soft, to minutes.
18. Stir in the lemon zest, juice, and garlic as soon as the beans come out of the oven and cover again; the residual steam will cook the garlic.
19. Thinly slice the pickled green beans on the bias.
20. Combine with the cherry tomatoes, oil, and vinegar.
21. To serve, ladle the bean soup into bowls with a big spoonful of the baked beans on top.
22. Garnish with the pickled green bean mix, a swirl of tomato brown butter, crumbled feta, and torn fresh herbs.
23. Leftovers can all be refrigerated in separate airtight containers, though the green bean salad is best on the day itAs made, when the beans are most crisp and the tomatoes are fresh.
24. This works for any amount of dense vegetables or dense, underripe fruit, either whole or cut up, such as carrots, turnips, beets, winter squash, onions, green beans, Brussels sprouts, green tomatoes, small apples, underripe peaches, and whole baby cabbages.
25. Peel off any tough skins, such as on beets, winter squash, and onions, and trim the tops.
26. Leave the vegetables whole or cut them into the desired finished shape.
27. Place the vegetables in a nonreactive container and pour water to completely submerge them; as you do so, keep track of how much water youAre adding since the amount of water will dictate the amount of salt (generally 3.5 percent salt by weight of the water for most vegetables, although cucumbers can handle 4 to 5 percent and the increased salt assists with keeping their texture crispy).
28. With a long wooden spoon, stir kosher salt into the brine (or add the salt, cap the jar, and give it a hearty shake) until the salt is dissolved.
29. Place a weight on top of the vegetables to keep them submerged in the brine.
30. Seal the container, using a lid with an airlock if you have one.
31. If you donAt have an airlock, youAll just need to open the container every few days or so to release carbon dioxide buildup and check for mold.
32. Place the container in a clean, low-light area with an ambient temperature of to until the pickles taste sour, about 3 weeks.
33. Refrigerate indefinitely.",502.76
Snack,Tomato Brown Butter,276.3,8.3,4.3,"'1 large tomato (about 8 oz. or g)', ' cup ( g) unsalted butter', 'Kosher salt', 'Freshly ground black pepper'","1. Place the tomato in a blender and purAe, then strain through a fine-mesh sieve; you should get about cup ( ml).
2. Add the butter to a large skillet and gently cook over medium heat until it starts to brown and smell nutty.
3. Stir in the smooth tomato purAe (be careful; it might spatter) and simmer for another minute or so.
4. YouAre looking to slightly cook the purAe but keep its brightness.
5. The mix wonAt emulsify, which is fine.
6. Season with salt and pepper and set aside.",47.94
Lunch,Maple-Roasted Acorn Squash,481.4,38.7,25.8,"'3 acorn squash, unpeeled, halved through the stem, and seeded', '3 tablespoons unsalted butter, diced', '3 tablespoons pure maple syrup, plus extra for serving', 'Good olive oil', 'Kosher salt and freshly ground black pepper', 'Flaked sea salt, such as Maldon, for serving'","1. Preheat the oven to .
2. Place the squash, cut sides up, on a sheet pan.
3. Place tablespoon butter and tablespoon maple syrup in the cavity of each squash.
4. Brush the cut sides with olive oil and sprinkle the squash with 3 teaspoons kosher salt and 1 teaspoon pepper.
5. Roast for to minutes, depending on the size of the squash, until tender when pierced with a small knife.
6. Place the squash on a serving platter.
7. If the halves are too large for one serving, cut each piece in half through the stem.
8. Drizzle lightly with extra maple syrup, sprinkle with sea salt, and serve hot.
9. Acorn squash is hard to cut.
10. To halve a whole squash, plunge the blade of a large chefAs knife into the side of the squash as far as it will go.
11. Holding the handle of the knife, bang the squash (with the knife in it) on the board until the blade cuts all the way through.",163.6
Lunch,Coconut-Creamed Corn And Grains,668.4,38.8,19.1,"'2 Tbsp. extra-virgin olive oil', '1 serrano chile or jalapeAo, thinly sliced', '1 (3"") piece fresh ginger, peeled, cut into matchsticks', '4 garlic cloves, thinly sliced', '2 scallions, thinly sliced, plus more for serving', ' tsp. ground turmeric', '4 ears of corn, shucked, kernels removed', '1 cup cooked grains (such as freekeh, farro, or quinoa)', '1 cup unsweetened coconut milk, plus more for serving', 'Kosher salt', '4 Tbsp. store-bought crispy onions or shallots (such as Lars Own, FrenchAs, or Maesri)', 'Lime wedges (for serving)'","1. Heat oil in a large nonstick skillet over medium.
2. Cook chile, ginger, garlic, and 2 sliced scallions, tossing, until softened and fragrant, about 3 minutes.
3. Add turmeric and cook, stirring frequently, just until darkened and fragrant, about seconds.
4. Add corn and increase heat to medium-high.
5. Cook, tossing occasionally, until corn is beginning to lightly brown, about 5 minutes.
6. Add grains to skillet and cook, tossing often, until heated through and beginning to crisp around the edges, about 2 minutes.
7. Add cup coconut milk; season with salt.
8. Bring to a simmer and cook, adding 1A2 Tbsp. water if needed to loosen, until flavors have come together, about 3 minutes.
9. Divide corn mixture between plates or shallow bowls and drizzle with more coconut milk.
10. Top with crispy onions and more scallion.
11. Serve with lime wedges for squeezing over.",343.35
Lunch,Tomato And Roasted Garlic Pie,535.3,31.0,29.9,"' pounds mixed heirloom tomatoes, cored, sliced ("") thick', '3 tablespoons extra-virgin olive oil', ' teaspoon kosher salt, divided, plus more', ' teaspoon freshly ground black pepper, plus more', '6 garlic cloves, peeled', ' cup (1 stick) unsalted butter', '9 ounces Stoned Wheat Thins or other whole grain crackers', '2 large eggs', ' ounces Taleggio cheese, rind removed, coarsely grated (about cups)', ' ounces finely crumbled Parmesan (about cup)', ' cup mayonnaise', '1 tablespoon chopped thyme, plus teaspoon leaves', '1 small shallot, thinly sliced', 'Special Equipment: A (9""-diameter) springform pan'","1. Place a rack in middle of oven; preheat to .
2. Arrange tomatoes on a rimmed baking sheet, covering entire surface (itAs okay if they overlap).
3. Drizzle with oil; season with salt and pepper.
4. Roast until tomatoes begin to look dry on top, minutes.
5. Let cool.
6. Meanwhile, cook garlic and butter in a small saucepan over medium-low heat, swirling often, until butter foams and milk solids turn golden, 5A7 minutes.
7. Strain garlic butter through a fine-mesh sieve into a heatproof measuring cup; transfer garlic and toasty bits to a cutting board.
8. Finely chop and set aside.
9. Reduce oven temperature to .
10. Pulse crackers and tsp. salt in a food processor until fine crumbs form (you should have about 2 cups).
11. Add eggs and 6 Tbsp. garlic butter and pulse until mixture is the consistency of wet sand; set remaining garlic butter aside.
12. Transfer to springform pan.
13. Using a flat-bottomed measuring cup, press crumbs firmly onto bottom and "" up sides of pan.
14. Bake crust until edge is just starting to take on color, minutes.
15. Transfer pan to a wire rack and let crust cool.
16. Mix Taleggio, Parmesan, mayonnaise, chopped thyme, remaining tsp. salt, remaining tsp. pepper, and reserved chopped garlic in a medium bowl.
17. Gently dollop half of cheese mixture over bottom of crust, then spread into an even layer with an offset spatula (donAt press too hard or you will break the crust).
18. Layer half of tomato slices over and press down to even out layers.
19. Repeat with remaining cheese mixture and tomatoes.
20. Brush remaining garlic butter over tomatoes.
21. Top with shallot and thyme leaves.
22. Set pan on a rimmed baking sheet and bake pie until filling is bubbling vigorously and crust is browned, minutes.
23. Transfer to rack and let cool 1 hour before serving.
24. Do Ahead: Pie can be made 1 day ahead.
25. Cover loosely and chill.",329.86
Lunch,Paneer With Burst Cherry Tomato Sauce,681.0,17.8,19.5,"'6 scallions, thinly sliced', '1 (1"") piece ginger, scrubbed, cut into matchsticks', '2 garlic cloves, thinly sliced', '1 tsp. coriander seeds', '1 tsp. cumin seeds', ' tsp. black mustard seeds', ' tsp. Kashmiri chile powder or tsp. cayenne powder', ' tsp. ground turmeric', '3 Tbsp. extra-virgin olive oil, divided', '8 oz. paneer, sliced into (""-thick) planks, patted dry', 'Kosher salt', ' oz. cherry tomatoes (about 2 cups)', '4 oz. sugar snap peas (about 1 cup), strings removed, halved on a diagonal if large', 'Pinch of sugar (optional)', ' cup (lightly packed) mint leaves', 'Cooked rice (for serving)'","1. Toss scallions, ginger, and garlic in a medium bowl to combine.
2. Using a mortar and pestle or the side of a chefAs knife, coarsely crush coriander seeds and add to vegetables along with cumin seeds, black mustard seeds, chile powder and turmeric; set aside.
3. Heat 2 Tbsp. extra-virgin olive oil in a large skillet over medium-high.
4. Arrange paneer in a single layer in pan and cook until golden brown underneath, about 1 minute. (If paneer is sticking, just give cheese a little more time to brown.
5. It will release from pan once it is sufficiently crisped.) Using a slotted spatula or spoon, transfer paneer to a plate, leaving as much oil behind in pan as possible.
6. Turn browned side up and season generously with salt.
7. Reduce heat to medium and add remaining 1 Tbsp. oil to same skillet.
8. Cook reserved scallion mixture, stirring often, until scallions are wilted and mustard seeds begin to pop, about 2 minutes.
9. Add tomatoes, sugar snap peas, and 1 cup water to skillet and season with salt.
10. Increase heat to medium-high and bring to a simmer.
11. Gently smash each tomato open with a spatula (you just want to break them open a little) and simmer until tomato juices thicken slightly, about 3 minutes (it should still be pretty brothy and light).
12. Taste sauce and add more salt if needed.
13. If your tomatoes arenAt super sweet, you may need to add a pinch of sugar at this point to balance their acidity.
14. Add paneer back to pan and simmer until warmed through.
15. Remove pan from heat and toss in mint.
16. Serve with cooked rice.",342.85
Lunch,Sesame-Scallion Chicken Salad,501.4,28.6,12.9,"'2 skinless, boneless chicken breasts ( lb. total)', '3 Tbsp. kosher salt, plus more', '3 scallions, thinly sliced on a deep diagonal', '3 Persian cucumbers', ' cup toasted sesame seeds, divided', '2 Tbsp. fresh lime juice', '2 Tbsp. tahini', '1 Tbsp. soy sauce', '1 tsp. honey', ' tsp. crushed red pepper flakes', ' head of romaine or green or red leaf lettuce or 1 head of Little Gem lettuce', 'Big handful of cilantro leaves with tender stems', ' lime (for serving)'","1. Bring chicken, 3 Tbsp. kosher salt, and 5 cups water to a bare simmer in a medium pot over medium heat (chicken should be submerged).
2. Be patientAthis will take a little while.
3. Once liquid begins to simmer, reduce heat to low and cook (water should not be simmering at all now) until juices run clear when thickest part of chicken is pierced, minutes.
4. Transfer chicken to a medium bowl; discard poaching liquid.
5. Let chicken sit until cool enough to handle, then shred meat into big pieces; set aside.
6. Meanwhile, place scallions in a small bowl and pour in very cold water to cover; let soak minutes.
7. Drain scallions in a mesh sieve or colander, then rinse under cold running water, swishing vigorously to rinse and to encourage them to curl up.
8. Shake off as much water as possible and place in a large bowl; set aside.
9. Working one at a time, slice cucumbers in half crosswise, then slice each piece in half lengthwise.
10. Place quarters cut side down and slice in half lengthwise again to create 8 pieces total per cucumber.
11. Add to bowl with reserved chicken.
12. Set 1 Tbsp. sesame seeds aside in a small bowl for serving.
13. Crush remaining sesame seeds in a mortar and pestle until some of the seeds have turned to powder, but with plenty of whole seeds left. (Alternatively, you can pulse seeds a few times in a food processor or spice mill, then transfer to a medium bowl before proceeding).
14. Add lime juice, tahini, soy sauce, honey, and red pepper flakes and mash to create a paste.
15. Add cup water and whisk to combine (if you donAt have a small enough whisk, work in with the pestle).
16. Taste and season with salt.
17. Add lettuce and cilantro to bowl with reserved scallions.
18. Pour half of dressing over and toss to coat.
19. Arrange on a platter.
20. Pour remaining dressing over chicken and cucumbers, toss to coat, and arrange over greens.
21. Top salad with reserved 1 Tbsp. sesame seeds and squeeze juice from lime half over.",186.82
Snack,Maple Barbecue Grilled Chicken,224.4,3.2,14.9,"'2 Tbsp. extra-virgin olive oil', '3 garlic cloves, crushed', '6 Tbsp. double-concentrated tomato paste', ' cup pure maple syrup', ' cup soy sauce', ' cup Worcestershire sauce', '2 Tbsp. unseasoned rice vinegar', '4 tsp. Sriracha or other hot sauce', 'Vegetable oil (for grill)', '1 (-lb.) whole chicken, cut into 6A8 pieces, or whatever bone-in cut of chicken you feel like cooking', 'Kosher salt'","1. Heat olive oil in a small saucepan over medium.
2. Cook garlic, turning occasionally, until golden brown, about 4 minutes.
3. Add tomato paste and cook, stirring constantly and scraping bottom of pan, until slightly darkened, about 3 minutes.
4. Add maple syrup, soy sauce, Worcestershire sauce, vinegar, and Sriracha.
5. Bring to a boil, then reduce heat to medium-low and simmer until flavors have come together, about 1 minute.
6. Remove from heat.
7. Transfer about half of barbecue sauce to a heatproof bowl and set aside for serving.
8. Prepare a grill for medium-high indirect heat (for a charcoal grill, bank coals on one side of grill; for a gas grill, leave one or two burners off); oil grate.
9. Season chicken generously with salt.
10. Grill chicken over direct heat, turning every minute, until browned on all sides, about 5 minutes.
11. Move chicken over indirect heat.
12. Cover, positioning vent (if your grill has one) over chicken, and continue to grill, keeping grill covered as much as possible and turning every 5 minutes or so, until an instant-read thermometer inserted into thickest part registers , minutes depending on the size of the pieces.
13. Baste chicken with barbecue sauce and grill, turning and basting occasionally, until an instant-read thermometer inserted into thickest part registers for breast and for dark meat, about minutes longer.
14. Arrange chicken on a platter.
15. Serve with reserved barbecue sauce alongside.
16. Do Ahead: Barbecue sauce can be made 2 weeks ahead.
17. Transfer to an airtight container; cover and chill.",156.09
